file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
emptyroom_d4_g2_p_t7,1062,5084,1081,5205,1200,5308,1077,5241
emptyroom_d4_g2_p_t8,1100,4724,1132,4803,1396,5038,1128,4853
emptyroom_d4_g2_p_t9,1269,5858,1298,6037,1619,6296,1294,6065
emptyroom_d8_g4_p_t1,429,1093,432,1114,538,1208,432,1114
emptyroom_d8_g4_p_t10,23645,447830,23686,448007,34426,480684,23076,469440
emptyroom_d8_g4_p_t2,2480,20047,2483,20096,3024,23527,2376,22899
emptyroom_d8_g4_p_t3,3668,29608,3673,29643,4650,34760,3509,33639
emptyroom_d8_g4_p_t4,6293,76301,6307,76337,7024,82174,6132,81326
emptyroom_d8_g4_p_t5,7904,92698,7917,92726,8802,101310,7649,100194
emptyroom_d8_g4_p_t6,15103,226785,15106,227187,15647,237957,14606,237010
emptyroom_d8_g4_p_t7,18832,286108,18827,286557,19711,302885,18162,301444
emptyroom_d8_g4_p_t8,14568,242310,14600,242425,21008,261589,14268,254952
emptyroom_d8_g4_p_t9,19455,319903,19488,320161,23829,343246,18903,338426
excalibur_arm9,24616,150798,25624,161319,77763,516887,23800,508894
fads,16475,108428,17369,123965,53933,376362,16132,371809
family_grid_new_dispose_4_1_p_t1,9453972,34421213,9452062,34452736,--,--,8726207,65567447
fiasco,2651,6673,2653,6678,2871,7665,2643,7440
fiasco_17_10,795,3380,854,3565,1034,3911,845,3802
financial,4062,40550,4121,40708,6030,55864,3990,54005
financialServices_2018-05-09,4129,39302,4173,39433,5899,49514,4042,47802
flexanet,44835,261052,46196,259497,153950,789703,42542,788447
flip_1_p_t1,20,25,20,25,22,27,20,25
flip_1_p_t10,167,329,167,329,199,361,167,329
flip_1_p_t2,34,46,34,46,42,54,34,46
flip_1_p_t3,48,69,48,69,56,77,48,69
flip_1_p_t4,62,93,62,93,70,101,62,93
flip_1_p_t5,76,118,76,118,84,126,76,118
flip_1_p_t6,102,197,102,197,134,229,102,197
flip_1_p_t7,110,195,110,195,130,215,110,195
flip_1_p_t8,130,247,130,247,162,279,130,247
flip_1_p_t9,144,268,144,268,176,300,144,268
flip_no_action_1_p_t1,32,45,32,45,34,47,32,45
flip_no_action_1_p_t10,292,611,292,611,376,717,290,613
flip_no_action_1_p_t2,58,86,58,86,66,94,58,86
flip_no_action_1_p_t3,84,135,84,135,98,149,84,135
flip_no_action_1_p_t4,113,193,113,193,133,213,113,193
flip_no_action_1_p_t5,136,225,136,225,162,251,136,225
flip_no_action_1_p_t6,174,360,174,360,218,404,174,360
flip_no_action_1_p_t7,201,405,201,405,250,456,200,406
flip_no_action_1_p_t8,228,451,228,451,282,509,226,453
flip_no_action_1_p_t9,254,497,254,497,314,561,252,499
freebsd-icse11,21755,131889,24145,184840,68829,243531,22637,300165
freetz,1322494,16653616,1322541,16654383,4913282,31233405,1227584,27547867
frv400,17473,110514,18443,121701,55657,417101,17204,413902
fs-01.net,72,93,84,119,80,101,84,119
gps4020,20935,127156,21890,129920,65434,417870,20410,421036
grg,33794,242872,34957,215169,112002,830787,32152,808740
h8300h_sim,16916,111438,17809,135474,58434,404896,16616,401883
h8max,49110,250616,50402,243508,146001,600426,46228,558864
h8s_sim,16926,111771,17794,138398,58395,404232,16611,401291
hanoi4,719,718,719,718,729,728,719,718
hanoi5,1932,1931,1932,1931,2166,2165,1932,1931
hs7729pci,37695,225080,38680,241796,114157,572691,35880,584248
huge,460,459,460,459,462,461,460,459
innovator,32469,172141,33636,176096,86658,440752,31155,432436
integrator_arm7,33959,212896,35194,193453,105295,509299,32438,482243
integrator_arm9,31391,245310,32520,250407,102657,743232,30033,728397
ipaq,46594,262038,48007,251428,133039,583197,44141,559669
iq80310,29140,234794,30315,232801,99262,697894,28075,694243
iq80321,39003,218576,40064,224360,121013,666132,37090,660508
ixdp425,38638,218022,39810,211202,121636,567842,36513,537366
jmr3904,44877,263953,46456,260716,144309,848718,42508,829632
jtst,35114,209846,36548,195365,106029,605955,33646,594466
lang12,740470,19585859,740470,19585859,--,--,628287,22816441
linux,27313,156036,28539,152060,86852,396571,26402,379458
log-1,2230,7285,2341,7676,2869,8522,2310,8117
log-2,10115,352513,10231,351688,19307,504886,9430,495175
log-3,5101,125352,5223,125373,10654,155476,5011,150102
log-4,83765,1408607,84214,1404843,184404,2108462,77736,2006031
log-5,126848,5515002,127433,5496376,366587,7180403,117271,6933794
logistics.a,633671,4540737,633671,4540737,1173319,9856611,583215,9342027
logistics.b,60799,865394,60799,865394,160534,1088584,57618,985668
lpcmt,35341,191612,36179,221885,115245,892960,33413,909844
lrzip,71,93,71,93,74,108,69,103
m5272c3,18643,120452,19686,119981,55114,255584,18358,243758
mac7100evb,25220,152580,26273,166656,77927,516586,24435,530295
mace1,25128,151382,26160,159386,77639,515939,24332,529977
malta_mips32_4kc,29817,192528,31143,175746,88390,458250,28685,430352
malta_mips64_5kc,32944,203931,34287,192624,101666,501175,31697,487273
mastermind_03_08_04.net,122270,8087090,122360,8243497,135817,8172929,121228,8305130
mastermind_03_08_05.net,803197,64734440,801411,65601397,--,--,787036,66640147
mastermind_04_08_04.net,550184,31914695,549470,32842771,675229,32440940,540917,33226033
mastermind_05_08_03.net,107950,4177799,108571,4383415,124299,4284578,107227,4481968
mastermind_06_08_03.net,200496,7892733,201310,8374098,237138,8178036,197515,8645382
mastermind_10_08_03.net,1135007,54023790,1135856,59286511,1316828,57107589,1101289,62445389
mb93091,37799,256166,39292,253471,121173,794672,36234,781867
mb93093,27316,189803,28409,185472,93297,620346,26360,610765
mbx,35008,273702,36396,302348,119264,795351,33491,776541
mcb2100,35303,184736,36199,215130,115245,892960,33413,909844
medium,139,144,139,144,141,146,139,144
mixdup,760,823,760,823,782,845,757,820
moab,39146,294743,40253,287580,130510,857894,37156,846817
mpc50,24368,151409,25328,139116,73514,359211,23488,346795
nano,50200,326716,51620,302831,157934,914285,47464,874500
npwr,36005,233574,37257,239098,116439,825710,34363,806281
ocelot,32263,198890,33353,192921,98143,502359,30843,485642
olpce2294,37473,203804,38913,201140,111790,576156,35986,560883
olpch2294,46512,268337,47544,295627,156789,1118119,43862,1111873
olpcl2294,36123,226411,37414,244359,119141,615728,34565,602524
or-100-10-1-UC-10,10558404,31633536,10680023,31271748,26206377,50477595,10206081,36003710
or-100-10-1-UC-20,8602,30682,8716,30703,20843,44246,8509,33002
or-100-10-1-UC-30,933,2441,942,2515,1735,3315,935,2574
or-100-10-1-UC-40,350,422,355,436,387,459,355,436
or-100-10-1-UC-50,286,310,292,324,307,331,292,324
or-100-10-1-UC-60,279,297,285,311,300,318,285,311
or-100-10-10-UC-20,6193,19348,6311,19644,14720,29191,6060,22102
or-100-10-10-UC-30,1298,3638,1332,3897,2676,5092,1313,4096
or-100-10-10-UC-40,432,589,450,649,495,656,449,652
or-100-10-10-UC-50,489,850,496,887,615,1002,494,917
or-100-10-10-UC-60,319,385,327,403,333,399,327,403
or-100-10-2-UC-20,93407,357280,94958,349758,288327,594467,91067,397343
or-100-10-2-UC-30,30738,107847,31195,106141,81808,167451,29994,121211
or-100-10-2-UC-40,750,1598,770,1691,1226,2106,762,1730
or-100-10-2-UC-50,468,766,481,800,626,938,477,822
or-100-10-2-UC-60,299,318,304,330,314,333,304,330
or-100-10-3-UC-20,1217838,4424514,1233112,4483084,3179316,6782916,1177722,5107469
or-100-10-3-UC-30,7433,25950,7568,24933,20877,45088,7298,28668
or-100-10-3-UC-40,516,880,531,926,657,1021,531,926
or-100-10-3-UC-50,407,599,412,611,472,664,412,611
or-100-10-3-UC-60,310,359,319,383,335,384,319,383
or-100-10-4-UC-20,155229,548186,157265,536976,413873,852207,150524,605298
or-100-10-4-UC-30,11404,36348,11480,35998,27693,56637,11017,40689
or-100-10-4-UC-40,1020,3005,1029,3052,1907,3928,1024,3087
or-100-10-4-UC-50,367,515,373,536,399,547,373,536
or-100-10-4-UC-60,255,262,257,265,267,274,257,265
or-100-10-5-UC-10,--,--,--,--,--,--,--,--
or-100-10-5-UC-20,190372,658504,194114,677551,495154,1016847,185083,778143
or-100-10-5-UC-30,18048,65910,18357,65540,46171,98959,17573,73361
or-100-10-5-UC-40,1712,5229,1772,5447,3449,7174,1725,5808
or-100-10-5-UC-50,679,1444,706,1587,1219,2253,704,1607
or-100-10-5-UC-60,284,306,292,329,303,325,292,329
or-100-10-6-UC-20,112830,429093,114497,410962,320738,690545,109256,496513
or-100-10-6-UC-30,3087,9930,3150,10066,6666,14125,3057,10994
or-100-10-6-UC-40,689,1441,707,1485,1011,1835,699,1543
or-100-10-6-UC-50,380,505,391,539,448,585,391,539
or-100-10-6-UC-60,304,348,311,367,321,366,311,367
or-100-10-7-UC-10,19874403,64153003,20170911,67481126,--,--,19394213,75456930
or-100-10-7-UC-20,212835,689805,215501,705636,544538,1158151,207536,763823
or-100-10-7-UC-30,5228,17380,5347,17839,11543,24887,5190,19441
or-100-10-7-UC-40,4225,13263,4300,13647,8787,18241,4188,14422
or-100-10-7-UC-50,637,1384,661,1529,960,1729,657,1553
or-100-10-7-UC-60,331,424,348,468,376,469,348,468
or-100-10-8-UC-10,14363777,46721538,14583983,46969108,40194026,84279479,13920933,54739720
or-100-10-8-UC-20,42932,160396,43593,158620,151855,319559,41709,180431
or-100-10-8-UC-30,14567,56064,14844,54475,40922,86441,14194,62536
or-100-10-8-UC-40,998,2664,1013,2740,2191,4334,1009,2825
or-100-10-8-UC-50,678,1458,688,1518,1018,1822,686,1532
or-100-10-8-UC-60,451,729,461,764,552,856,461,764
or-100-10-9-UC-20,1053734,3734786,1071284,3604255,2397698,5367863,1022945,4170030
or-100-10-9-UC-30,56728,197836,57614,198611,172352,348613,55426,219588
or-100-10-9-UC-40,15198,57044,15437,57837,46107,96234,14962,62572
or-100-10-9-UC-50,1545,4444,1584,4721,2613,5602,1555,4882
or-100-10-9-UC-60,578,1164,605,1274,993,1800,602,1285
or-100-20-1-UC-20,30737278,99883498,31248101,99167316,--,--,29815462,116052972
or-100-20-1-UC-30,27669030,89828243,28145908,89885639,--,--,26886812,104205245
or-100-20-1-UC-40,11623,40447,11902,41193,38047,80905,11331,47815
or-100-20-1-UC-50,855,2051,901,2204,1453,2699,883,2310
or-100-20-1-UC-60,471,764,506,898,639,972,506,898
or-100-20-10-UC-20,4781380,18182776,4889926,18401280,11405224,25919579,4663550,21066620
or-100-20-10-UC-30,110425,380122,112546,380622,281153,582160,107264,435399
or-100-20-10-UC-40,53639,180858,54715,183932,138188,276082,52412,204668
or-100-20-10-UC-50,6090,20510,6237,21303,15105,30525,6023,23122
or-100-20-10-UC-60,1490,4034,1525,4302,4495,8348,1515,4356
or-100-20-2-UC-10,35122126,106560421,35503205,104979681,--,--,--,--
or-100-20-2-UC-20,3150976,9383837,3186955,9460914,10904671,21634577,3074750,10415758
or-100-20-2-UC-30,421120,1279503,428149,1319756,954078,1927010,409526,1511868
or-100-20-2-UC-40,3312,10261,3400,10871,8052,15289,3316,11347
or-100-20-2-UC-50,1456246,4375416,1481687,4392963,6247899,11940814,1403502,5365498
or-100-20-2-UC-60,268996,858265,274315,876709,933710,1825117,261284,1019287
or-100-20-3-UC-30,1406074,4688814,1435912,4854448,4487865,9071148,1370122,5474942
or-100-20-3-UC-40,117700,387727,119627,393478,277168,581916,114683,446373
or-100-20-3-UC-50,431,634,455,719,523,741,455,719
or-100-20-3-UC-60,298,339,307,360,322,363,307,360
or-100-20-4-UC-10,62124854,207172977,63104421,212767307,--,--,--,--
or-100-20-4-UC-20,914568,3226015,929194,3228582,2272841,4845175,888472,3686356
or-100-20-4-UC-30,2526009,7885274,2562622,8104763,7785541,16778170,2471879,8842405
or-100-20-4-UC-40,70076,236392,71427,254573,180900,367821,68321,285506
or-100-20-4-UC-50,5142,15847,5274,17374,14296,28690,5117,18622
or-100-20-4-UC-60,2913,8914,3017,9434,7664,15504,2893,11287
or-100-20-5-UC-20,5468744,18978615,5567113,19530345,13225383,28739882,5300232,22881258
or-100-20-5-UC-30,491568,1549440,499512,1571316,1534363,3133640,477417,1823422
or-100-20-5-UC-40,7462,25765,7595,27393,20115,40784,7390,29032
or-100-20-5-UC-50,1260,3432,1283,3711,2490,4955,1266,4029
or-100-20-5-UC-60,564,1131,573,1184,812,1439,569,1230
or-100-20-6-UC-20,4822021,15649626,4904535,15801012,19539503,40420149,4696617,17908549
or-100-20-6-UC-30,48965,167305,49961,169651,130714,264607,47612,196760
or-100-20-6-UC-40,15066,55494,15485,58052,36066,80837,14732,65709
or-100-20-6-UC-50,4284,15086,4386,15483,10103,22615,4231,17542
or-100-20-6-UC-60,299,313,314,343,327,341,314,343
or-100-20-7-UC-10,55646172,174944402,56379366,174991428,--,--,--,--
or-100-20-7-UC-20,4088825,13476392,4140546,13414911,8788951,19407871,3979819,15403401
or-100-20-7-UC-30,113954,403748,116439,410868,302336,640130,110702,473523
or-100-20-7-UC-40,140982,483193,144238,492671,351029,700888,136852,586187
or-100-20-7-UC-50,7203,24690,7338,25733,24797,49140,7107,28809
or-100-20-7-UC-60,758,1742,802,1915,2222,4347,795,2009
or-100-20-8-UC-20,2879512,9451229,2929464,9353693,6859343,14251423,2796830,10893694
or-100-20-8-UC-30,391954,1331699,398167,1369068,1014743,2090880,382080,1579036
or-100-20-8-UC-40,67380,225984,68491,233274,159445,338263,65489,263162
or-100-20-8-UC-50,2663,8336,2722,8762,6023,11930,2659,9264
or-100-20-8-UC-60,1345,3932,1383,4100,2657,5468,1354,4405
or-100-20-9-UC-20,2184347,6880710,2215398,6797805,5374376,11138386,2109526,8398262
or-100-20-9-UC-30,132847,475038,135560,474278,607128,1296969,129751,533538
or-100-20-9-UC-40,824,1923,853,2024,1411,2657,842,2227
or-100-20-9-UC-50,365,474,379,543,431,577,379,543
or-100-20-9-UC-60,334,410,344,437,366,442,344,437
or-100-5-1-UC-10,1003302,3416621,1019024,3403817,2681135,5375139,972537,3865499
or-100-5-1-UC-20,10241,36441,10457,35877,25266,53944,10012,40406
or-100-5-1-UC-30,905,2510,917,2580,1736,3482,904,2728
or-100-5-1-UC-40,403,612,408,627,472,681,408,627
or-100-5-1-UC-50,297,352,298,355,323,378,298,355
or-100-5-1-UC-60,245,249,245,249,252,256,245,249
or-100-5-10-UC-10,5452079,17860238,5518131,17258915,13323859,27391392,5293459,19958428
or-100-5-10-UC-20,8850,30038,8979,31089,22838,44967,8738,32754
or-100-5-10-UC-30,654,1342,672,1372,975,1663,667,1411
or-100-5-10-UC-40,332,372,334,378,352,392,334,378
or-100-5-10-UC-50,292,303,294,309,305,316,294,309
or-100-5-10-UC-60,247,247,248,250,256,256,248,250
or-100-5-2-UC-10,16832652,52918774,17185218,51989392,--,--,16347602,61944651
or-100-5-2-UC-20,48961,175987,50011,174227,134715,271355,47760,199513
or-100-5-2-UC-30,8180,29360,8355,28534,21667,46513,7938,34392
or-100-5-2-UC-40,891,2281,920,2407,1500,2984,907,2553
or-100-5-2-UC-50,580,1156,598,1225,757,1391,592,1305
or-100-5-2-UC-60,321,377,329,403,345,401,329,403
or-100-5-3-UC-10,39206,145925,40005,145248,102606,221857,38172,172007
or-100-5-3-UC-20,1586,4683,1628,4999,2864,6003,1609,5168
or-100-5-3-UC-30,1171,3298,1210,3492,2194,4331,1194,3650
or-100-5-3-UC-40,698,1488,722,1601,996,1786,719,1628
or-100-5-3-UC-50,493,820,512,891,616,943,509,894
or-100-5-3-UC-60,296,303,299,313,311,318,299,313
or-100-5-4-UC-10,30089912,88853487,30444765,88613253,--,--,29259184,100908404
or-100-5-4-UC-20,8314036,27106175,8441714,27222369,18889067,40176147,8091936,31256697
or-100-5-4-UC-30,4719,17014,4807,16840,11575,24939,4626,18503
or-100-5-4-UC-40,788,1906,798,2028,1342,2668,795,2109
or-100-5-4-UC-50,332,420,333,425,369,457,333,425
or-100-5-4-UC-60,289,328,290,332,306,345,290,332
or-100-5-5-UC-20,109702,400254,112029,398537,278991,595958,106970,448964
or-100-5-5-UC-30,2900,9899,2964,9977,6663,13898,2900,10595
or-100-5-5-UC-40,635,1311,657,1395,1062,1879,655,1417
or-100-5-5-UC-50,412,595,427,630,507,703,426,639
or-100-5-5-UC-60,408,593,425,633,492,677,424,642
or-100-5-6-UC-10,368225,1226963,373478,1241923,941026,1856046,359367,1348208
or-100-5-6-UC-20,2403,7106,2434,7372,4799,9632,2394,7604
or-100-5-6-UC-30,669,1253,684,1335,926,1510,682,1341
or-100-5-6-UC-40,445,659,451,685,491,705,451,685
or-100-5-6-UC-50,340,420,345,438,365,445,345,438
or-100-5-6-UC-60,285,315,286,318,303,333,286,318
or-100-5-7-UC-10,5308462,18368552,5386783,18213509,13850209,28756330,5149446,21333020
or-100-5-7-UC-20,245121,871105,249289,858377,624995,1343018,238034,1020497
or-100-5-7-UC-30,2390,7817,2440,7854,5447,11042,2389,8366
or-100-5-7-UC-40,520,942,534,983,700,1122,532,997
or-100-5-7-UC-50,376,487,381,504,411,522,381,504
or-100-5-7-UC-60,281,301,283,307,294,314,283,307
or-100-5-8-UC-20,61446,249343,62898,243012,175167,394994,59734,294560
or-100-5-8-UC-30,1728,5308,1783,5227,3586,7542,1729,5990
or-100-5-8-UC-40,434,642,446,682,528,736,446,682
or-100-5-8-UC-50,296,348,296,348,319,371,296,348
or-100-5-8-UC-60,262,294,262,294,275,307,262,294
or-100-5-9-UC-10,3434837,12164876,3483377,11839011,8517019,18263779,3337881,13640801
or-100-5-9-UC-20,27971,106128,28245,105493,80471,164557,27257,114407
or-100-5-9-UC-30,810,1907,819,1950,1332,2485,815,2002
or-100-5-9-UC-40,344,427,347,437,411,538,347,437
or-100-5-9-UC-50,330,424,333,437,359,453,333,437
or-100-5-9-UC-60,297,353,300,365,318,374,300,365
or-50-10-1,1017511,3113430,1033053,3173403,2098189,4354819,996460,3495162
or-50-10-1-UC-10,49475,161580,50320,165158,114016,233772,48458,179386
or-50-10-1-UC-20,774,2138,794,2225,1309,2921,780,2356
or-50-10-1-UC-30,354,716,364,749,454,820,362,761
or-50-10-1-UC-40,178,243,181,251,197,262,181,251
or-50-10-10,1377132,4220141,1395316,4395916,2892621,5953259,1346617,4765051
or-50-10-10-UC-10,4107,13547,4163,13687,9814,20157,4028,14832
or-50-10-10-UC-20,457,983,468,1034,615,1151,467,1037
or-50-10-10-UC-30,255,393,256,398,318,456,256,398
or-50-10-10-UC-40,183,217,184,221,203,237,184,221
or-50-10-2,298042,920601,303350,968796,650125,1357595,289237,1112469
or-50-10-2-UC-10,2813,9162,2867,9416,6045,12777,2781,10167
or-50-10-2-UC-20,628,1627,648,1765,1237,2781,642,1811
or-50-10-2-UC-30,369,739,385,801,521,891,384,810
or-50-10-2-UC-40,199,237,207,259,220,258,207,259
or-50-10-3,748056,2215643,758987,2282304,1466581,3182038,728172,2731687
or-50-10-3-UC-10,11570,39695,11741,40789,26267,56166,11413,44066
or-50-10-3-UC-20,8485,27852,8598,29795,18932,38888,8377,31346
or-50-10-3-UC-30,536,1261,552,1390,805,1530,551,1391
or-50-10-3-UC-40,259,413,269,456,300,454,269,456
or-50-10-4,774454,2345513,787016,2422303,1509832,3202218,757441,2657281
or-50-10-4-UC-10,22973,76419,23370,80818,52867,108592,22620,85738
or-50-10-4-UC-20,4925,15506,4996,16159,10312,21243,4886,16667
or-50-10-4-UC-30,767,2142,791,2325,1285,2722,777,2433
or-50-10-4-UC-40,609,1447,625,1562,994,1848,621,1576
or-50-10-5,624024,1953200,633962,2026827,1363756,2828487,608133,2265714
or-50-10-5-UC-10,35284,117931,35804,122614,73926,159221,34809,128689
or-50-10-5-UC-20,16270,51359,16562,53727,33911,73025,15851,59387
or-50-10-5-UC-30,4950,16377,5025,17128,10821,22612,4909,17753
or-50-10-5-UC-40,1038,2953,1066,3089,1982,3941,1048,3195
or-50-10-6,1132557,3332708,1146907,3427185,2305891,4686436,1107780,3745386
or-50-10-6-UC-10,31236,98466,31587,99439,65943,137103,30686,106790
or-50-10-6-UC-20,4145,13153,4210,13409,8671,18064,4101,14047
or-50-10-6-UC-30,2902,9187,2958,9654,5955,12438,2903,10065
or-50-10-6-UC-40,303,607,312,625,412,736,308,661
or-50-10-7,761769,2421654,773090,2569453,1757124,3543895,745144,2794005
or-50-10-7-UC-10,381633,1144134,387295,1184504,755729,1580850,373085,1289145
or-50-10-7-UC-20,5045,16298,5135,16922,10315,22092,4990,17735
or-50-10-7-UC-30,328,610,339,664,458,790,338,665
or-50-10-7-UC-40,266,453,269,465,325,508,269,465
or-50-10-8,1161181,3540922,1175217,3657229,2373744,4958789,1133971,3999624
or-50-10-8-UC-10,3210,11208,3268,10940,7013,15273,3196,11915
or-50-10-8-UC-20,328,648,336,665,423,743,335,672
or-50-10-8-UC-30,164,190,165,194,182,208,165,194
or-50-10-8-UC-40,163,190,164,193,178,205,164,193
or-50-10-9,881687,2693139,895567,2802344,1839626,3851055,858230,3161307
or-50-10-9-UC-10,38077,126420,38758,126767,73352,166284,37535,139077
or-50-10-9-UC-20,6539,20774,6650,21886,13906,30084,6427,24702
or-50-10-9-UC-30,566,1355,586,1453,912,1703,582,1501
or-50-10-9-UC-40,509,1200,527,1361,847,1546,525,1377
or-50-20-1,1052038,3226037,1065420,3309073,2273150,4639451,1027269,3626816
or-50-20-1-UC-10,271801,855559,275530,878982,592537,1211565,266031,947876
or-50-20-1-UC-20,9218,28406,9335,29981,29222,62324,9118,31003
or-50-20-1-UC-30,1823,5240,1866,5693,3165,6967,1852,5779
or-50-20-1-UC-40,499,1123,515,1208,728,1354,514,1209
or-50-20-10,1372327,4166459,1391464,4340060,2861977,5895063,1338900,4729311
or-50-20-10-UC-10,53623,177467,54456,184360,119677,254326,52432,202592
or-50-20-10-UC-20,23845,74744,24235,78570,50088,104157,23405,83529
or-50-20-10-UC-30,3897,13422,3955,14221,8366,18403,3867,15103
or-50-20-10-UC-40,1285,3630,1323,4070,3065,7381,1306,4165
or-50-20-2,527487,1664490,535574,1756114,1117524,2368264,513889,1947606
or-50-20-2-UC-10,529618,1671282,537627,1769008,1121454,2375361,515681,1952680
or-50-20-2-UC-20,32314,106557,32786,108145,75764,156375,31552,121178
or-50-20-2-UC-30,4080,13661,4163,14114,9357,19350,4042,14936
or-50-20-2-UC-40,1794,5568,1838,5889,4384,9050,1805,6453
or-50-20-3,1703774,5198753,1733647,5466111,3414141,7212024,1665459,6027935
or-50-20-3-UC-10,145112,455348,147554,490091,327192,654172,142319,526393
or-50-20-3-UC-20,1669,5369,1730,5901,3418,7297,1687,6186
or-50-20-3-UC-30,716,1817,750,2036,1123,2256,744,2072
or-50-20-3-UC-40,467,1003,501,1181,651,1201,500,1188
or-50-20-4,311165,975249,316540,988410,704929,1437993,303262,1129050
or-50-20-4-UC-10,10781,37102,10970,39864,23968,51757,10600,42994
or-50-20-4-UC-20,3457,11170,3538,11874,7503,15526,3442,12548
or-50-20-4-UC-30,3260,10495,3343,11294,7135,14636,3256,11839
or-50-20-4-UC-40,1939,5974,1985,6433,4170,8425,1940,6854
or-50-20-5,1063761,3145609,1078277,3231851,2328610,4650549,1037610,3603973
or-50-20-5-UC-10,92538,305940,93965,309768,204441,433239,90601,338387
or-50-20-5-UC-20,30021,99490,30467,101020,71164,146162,29294,110468
or-50-20-5-UC-30,2717,8992,2758,9551,6661,13784,2720,9743
or-50-20-5-UC-40,1652,4875,1694,5278,3070,7066,1676,5374
or-50-20-6,1034729,3177562,1051047,3282624,2170371,4521180,1008570,3658918
or-50-20-6-UC-10,42595,142136,43208,150100,102038,206614,41870,158734
or-50-20-6-UC-20,7466,23170,7623,24765,15093,34222,7420,26062
or-50-20-6-UC-30,1059,2948,1096,3204,2555,5527,1078,3298
or-50-20-6-UC-40,334,595,352,659,484,788,351,660
or-50-20-7,1419304,4275296,1441188,4395665,2905519,6075526,1384020,4933190
or-50-20-7-UC-10,30584,98182,31063,101498,73851,151503,29825,117951
or-50-20-7-UC-20,4123,14138,4196,14688,11468,24666,4081,15491
or-50-20-7-UC-30,1358,4195,1389,4297,3054,6166,1356,4712
or-50-20-7-UC-40,510,1250,520,1340,808,1576,518,1348
or-50-20-8,592853,1780951,601253,1838693,1245427,2519410,580949,2006286
or-50-20-8-UC-10,16669,53426,16981,54883,37688,77142,16401,60388
or-50-20-8-UC-20,3184,9608,3238,10048,6618,13160,3176,10342
or-50-20-8-UC-30,713,1841,729,1946,1355,2640,724,1963
or-50-20-8-UC-40,678,1695,696,1810,1122,2176,693,1829
or-50-20-9,1807557,5392241,1837571,5560799,3736377,7698167,1763200,6298695
or-50-20-9-UC-10,117442,370354,119323,385718,453401,973039,114964,423102
or-50-20-9-UC-20,2428,7874,2466,8066,5230,11115,2411,8782
or-50-20-9-UC-30,672,1780,698,1862,1237,2424,685,2102
or-50-20-9-UC-40,592,1404,619,1447,998,1911,603,1695
or-50-5-1,437705,1371158,444178,1450162,919939,1921856,427774,1579010
or-50-5-1-UC-10,16498,53130,16853,55607,37790,77615,16142,62141
or-50-5-1-UC-20,781,2238,807,2364,1497,2974,792,2461
or-50-5-1-UC-30,210,264,217,289,249,303,217,289
or-50-5-1-UC-40,164,183,167,193,180,199,167,193
or-50-5-10,566497,1773786,575954,1841628,1208562,2524052,554030,2077748
or-50-5-10-UC-10,4228,14633,4295,15173,10343,21726,4167,16601
or-50-5-10-UC-20,824,2327,842,2412,1391,2978,830,2519
or-50-5-10-UC-30,194,240,198,253,215,261,198,253
or-50-5-10-UC-40,175,209,179,222,190,224,179,222
or-50-5-2,3143296,9270752,3190505,9510152,6381992,13054338,3071077,10537371
or-50-5-2-UC-10,204090,665956,207159,679034,468038,969009,199367,744827
or-50-5-2-UC-20,5812,18824,5892,18962,12239,26171,5744,20272
or-50-5-2-UC-30,376,799,379,819,589,1081,379,819
or-50-5-2-UC-40,281,496,287,518,349,564,287,518
or-50-5-3,659510,2040395,669213,2107715,1372690,2860077,645294,2304459
or-50-5-3-UC-10,1844,5920,1890,6195,3982,8489,1828,6690
or-50-5-3-UC-20,309,576,315,602,401,668,315,602
or-50-5-3-UC-30,274,501,278,518,325,552,278,518
or-50-5-3-UC-40,266,486,272,501,314,534,270,503
or-50-5-4,1277560,3757014,1300705,3815807,2579876,5367063,1245124,4369899
or-50-5-4-UC-10,181652,577090,184557,593656,403121,838853,177120,660803
or-50-5-4-UC-20,46158,149485,46780,155473,106441,214671,45402,164533
or-50-5-4-UC-30,1471,4462,1497,4583,3191,6244,1472,4685
or-50-5-4-UC-40,555,1368,567,1422,825,1650,565,1432
or-50-5-5,1393138,4150026,1414066,4247744,2707898,5751148,1359491,4773751
or-50-5-5-UC-10,223147,681698,226627,693732,470386,970308,217956,773899
or-50-5-5-UC-20,2966,9393,3016,9812,6407,13062,2950,10240
or-50-5-5-UC-30,341,669,345,682,453,785,344,685
or-50-5-5-UC-40,158,172,159,175,167,181,159,175
or-50-5-6,676524,2093808,685687,2174334,1467975,2985034,662189,2350208
or-50-5-6-UC-10,3472,11965,3516,11671,6692,15712,3418,12760
or-50-5-6-UC-20,408,969,414,976,594,1155,412,992
or-50-5-6-UC-30,209,277,210,280,235,303,210,280
or-50-5-6-UC-40,167,194,168,197,189,216,168,197
or-50-5-7,1534876,4692428,1559445,4882648,3198021,6658553,1497399,5443712
or-50-5-7-UC-10,157861,515111,160614,522540,394108,783858,154026,583633
or-50-5-7-UC-20,1061,3071,1082,3139,1984,4000,1072,3197
or-50-5-7-UC-30,614,1545,629,1570,924,1877,622,1623
or-50-5-7-UC-40,293,518,296,529,357,588,295,534
or-50-5-8,1766514,5368280,1787248,5673423,3808440,7709829,1726334,6148835
