file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
90-10-5-q,1309,1574,1337,1705,1469,2196,1336,1716
90-10-6-q,1382,1381,1382,1381,--,--,1382,1381
90-10-7-q,1366,1812,1388,1981,1446,1962,1175,1832
90-10-8-q,1382,1381,1382,1381,--,--,1382,1381
90-10-9-q,1402,2090,1441,2289,1743,3398,1321,2273
90-12-1-q,2155,3352,2194,3707,3141,9603,1986,3703
90-12-10-q,2118,3371,2163,3747,3128,10366,2095,3791
90-12-2-q,1958,2427,1996,2537,2171,3163,1961,2570
90-12-3-q,2016,2631,2067,2930,2458,4306,2003,2928
90-12-4-q,1978,2705,2011,2920,2107,2850,1720,2647
90-12-5-q,1937,2582,1955,2689,2071,3214,1891,2687
90-12-6-q,2245,4096,2288,4407,2921,7379,2210,4797
90-12-7-q,2843,6750,2931,8094,4772,15413,2766,9032
90-12-8-q,2752,7239,2814,8685,3900,12990,2739,9634
90-12-9-q,2018,2017,2018,2017,--,--,2018,2017
90-14-1-q,2795,4356,2838,4568,3589,8834,2672,4714
90-14-10-q,4313,12343,4423,14005,9173,42633,4295,17651
90-14-2-q,2756,3792,2811,4192,3732,11170,2609,4042
90-14-3-q,2636,3391,2665,3557,3132,5757,2639,3585
90-14-4-q,2774,2773,2774,2773,--,--,2774,2773
90-14-5-q,4528,14121,4601,16632,15853,113368,4189,18561
90-14-6-q,2899,4614,2946,5037,3500,9560,2853,5096
90-14-7-q,3010,5523,3056,5854,3911,9549,2889,5993
90-14-8-q,2939,4592,2983,4960,4534,13862,2881,5168
90-14-9-q,2843,3904,2897,4492,3656,8015,2784,4675
90-15-1-q,3410,6314,3459,6667,4845,14887,3353,6840
90-15-10-q,3381,6475,3445,6957,4907,14162,3410,7383
90-15-2-q,8286,37810,8432,46413,40312,155042,8013,58009
90-15-3-q,3921,9979,4035,11295,12030,63858,3922,13429
90-15-4-q,3145,4783,3190,5137,4076,10861,3012,5161
90-15-5-q,3169,4643,3223,5060,3987,9561,3206,5143
